"","text","machine","minutes","seconds","total"
"116","Request completed in 0.55m 33.15s","ibmqx4",0.55,33.15,66.15
"117","Request completed in 0.46m 27.76s","ibmqx4",0.46,27.76,55.36
"118","Request completed in 0.45m 27.13s","ibmqx4",0.45,27.13,54.13
"119","Request completed in 0.66m 39.59s","ibmqx4",0.66,39.59,79.19
"120","Request completed in 0.45m 27.19s","ibmqx4",0.45,27.19,54.19
"121","Request completed in 0.46m 27.44s","ibmqx4",0.46,27.44,55.04
"122","Request completed in 0.56m 33.55s","ibmqx4",0.56,33.55,67.15
"123","Request completed in 0.48m 28.71s","ibmqx4",0.48,28.71,57.51
"124","Request completed in 0.47m 28.38s","ibmqx4",0.47,28.38,56.58
"125","Request completed in 0.75m 45.23s","ibmqx4",0.75,45.23,90.23
"126","Request completed in 0.56m 33.38s","ibmqx4",0.56,33.38,66.98
"127","Request completed in 0.45m 27.29s","ibmqx4",0.45,27.29,54.29
